FE,Species,Morphology,Solitary.colonial,Maximum.longevity,Height,Width,Epibiosis,Energetic.resource,Photosyntetic.pigment,Feeding,Age.at.reproduction,Growth.rates,Physicial.defences
b241323ac323b,Spongia.virgultosa,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Other.sponge.encrusting.red,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Other.sponge.4.yellow.encrusting,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Plakina.sp,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Spongosorites.intrincatus,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Invertebrate.mixture.thin.sponges.layers,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Other.sponge.3.orange.encrusting,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Other.sponge.2.black.encrusting,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Other.sponge.encrusting.green,b,2,4,1,3,2,3,a,c,3,3,b
b241323ac323b,Fasciospongia.cavernosa,b,2,4,1,3,2,3,a,c,3,3,b
b241423ab223e,Gregarinidra.gregaria,b,2,4,1,4,2,3,a,b,2,3,e
b241423ab223e,Encrusting.Briozoa.no.id.Orange,b,2,4,1,4,2,3,a,b,2,3,e
b241523ac323b,Hexadella.pruvoti,b,2,4,1,5,2,3,a,c,3,3,b
b241523ac323b,Dendroxea.lenis,b,2,4,1,5,2,3,a,c,3,3,b
b241523ac323b,Crella.pulvinar,b,2,4,1,5,2,3,a,c,3,3,b
b241523ac323b,Crambe.crambe,b,2,4,1,5,2,3,a,c,3,3,b
b241523ac323b,Phorbas.tenacior,b,2,4,1,5,2,3,a,c,3,3,b
b241523ac323b,Hexadella.racovitzai,b,2,4,1,5,2,3,a,c,3,3,b
c112221da125a,Filamentous.red.algae.falkenbergia.type,c,1,1,2,2,2,1,d,a,1,5,a
c122221ba225a,Bryopsis.type,c,1,2,2,2,2,1,b,a,2,5,a
c122221ba225a,Chondria.type,c,1,2,2,2,2,1,b,a,2,5,a
c211123ab125a,Dynamena.Laomedea.type,c,2,1,1,1,2,3,a,b,1,5,a
c211123ab125a,Aglaophenia.sp,c,2,1,1,1,2,3,a,b,1,5,a
c211123ab125a,Hydrozoa.turf,c,2,1,1,1,2,3,a,b,1,5,a
c211123ab125a,Eudendrium.sp,c,2,1,1,1,2,3,a,b,1,5,a
c221321fa225a,Algal.turf,c,2,2,1,3,2,1,f,a,2,5,a
d233321ba225a,Caulerpacylindracea,d,2,3,3,3,2,1,b,a,2,5,a
d233321ba323d,Flabellia.petiolata,d,2,3,3,3,2,1,b,a,3,3,d
d243221ba323d,Halimeda.tuna,d,2,4,3,2,2,1,b,a,3,3,d
e122221da225a,Red.macroalgae.laminar.no.id,e,1,2,2,2,2,1,d,a,2,5,a
e122221da225a,Erythroglossum.sandrianum,e,1,2,2,2,2,1,d,a,2,5,a
e122221da225a,Rhodymenia.ardissonei,e,1,2,2,2,2,1,d,a,2,5,a
e123221ca225a,Brown.macroalgae.erect.no.id,e,1,2,3,2,2,1,c,a,2,5,a
e123221ca225a,Dictyota.dichotoma.var.intrincata,e,1,2,3,2,2,1,c,a,2,5,a
e123221ca225a,Dictyota.sp,e,1,2,3,2,2,1,c,a,2,5,a
e123221ca225a,Dictyopteris.membranacea,e,1,2,3,2,2,1,c,a,2,5,a
e123321ca225a,Padina.pavonica,e,1,2,3,3,2,1,c,a,2,5,a
f132231da224d,Haliptilon.virgatum,f,1,3,2,2,3,1,d,a,2,4,d
f132231da224d,Liagora.sp,f,1,3,2,2,3,1,d,a,2,4,d
f132231da224d,Erect.corallinacea.no.id,f,1,3,2,2,3,1,d,a,2,4,d
f132231da224d,Corallina.elongata,f,1,3,2,2,3,1,d,a,2,4,d
g231123ab223e,Celleporina.sp,g,2,3,1,1,2,3,a,b,2,3,e
g231123ab223e,Idmidronea.sp,g,2,3,1,1,2,3,a,b,2,3,e
g231123ab223e,Caberea.boryi,g,2,3,1,1,2,3,a,b,2,3,e
g231123ab223e,Crisia.sp,g,2,3,1,1,2,3,a,b,2,3,e
g231123ab223e,Cellaria.sp,g,2,3,1,1,2,3,a,b,2,3,e
g231123ab223e,Scrupocellaria.sp,g,2,3,1,1,2,3,a,b,2,3,e
g231123ab223e,Miniacina.mineacea,g,2,3,1,1,2,3,a,b,2,3,e
g232223ab223e,Dentiporella.sardonica,g,2,3,2,2,2,3,a,b,3,3,e
g242233ab323e,Reteporella.grimaldii,g,2,4,2,2,3,3,a,b,3,3,e
g242323ad324a,Parazoanthus.axinellae,g,2,4,2,3,2,3,a,d,3,4,a
g242333ad322e,Hoplangia.durotrix,g,2,5,2,3,3,3,a,d,3,2,e
g243423ab323e,Pentapora.fascialis,g,2,4,3,4,2,3,a,b,3,3,e
g244423ab323e,Adeonella.calveti,g,2,4,4,4,2,3,a,b,3,3,e
g244423ab323e,Chartella.tenella,g,2,4,4,4,2,3,a,b,3,3,e
h142223ad324a,Corynactis.viridis,h,1,4,2,2,2,3,a,d,3,4,a
h152233ad312e,Leptopsammia.pruvoti,h,1,5,2,2,3,3,a,d,3,2,e
h152233ad321e,Caryophyllia.inornata,h,1,5,2,2,3,3,a,d,3,1,e
i242323ac323b,Haliclona.fulva,i,2,4,2,3,2,3,a,c,3,3,b
i242323ac323b,Corticium.candelabrum,i,2,4,2,3,2,3,a,c,3,3,b
i242323ac323b,Oscarella.sp,i,2,4,2,3,2,3,a,c,3,3,b
i242333ac323b,Hemimycale.columella,i,2,4,2,3,3,3,a,c,3,3,b
i242333ac323b,Pleraplysilla.spinifera,i,2,4,2,3,3,3,a,c,3,3,b
i242333ac323b,Dysidea.avara,i,2,4,2,3,3,3,a,c,3,3,b
i242423ac323b,Cacospongia.scalaris.type.,i,2,4,2,4,2,3,a,c,3,3,b
i253323ac323b,Haliclona.mucosa,i,2,5,3,3,2,3,a,c,3,3,b
i253323ac323b,Haliclona.mediterranea,i,2,5,3,3,2,3,a,c,3,3,b
i253532ec321c,Petrosia.ficiformis,i,2,5,3,5,3,2,e,c,3,1,c
j123233ac224a,Halocynthia.papillosa,j,1,2,3,2,3,3,a,c,2,4,a
j222233ac224a,Clavelina.lepadiformis,j,2,2,2,2,3,3,a,c,2,4,a
j222233ac224a,Clavelina.dellavallei,j,2,2,2,2,3,3,a,c,2,4,a
k132221ba223a,Valonia.macrophysa,k,1,3,2,2,2,1,b,a,2,3,a
k232333ac324c,Clathrina.coriacea,k,2,4,2,3,3,3,a,c,3,4,c
k232333ac324c,Clathrina.clathrus,k,2,4,2,3,3,3,a,c,3,4,c
k243333ac323b,Acanthella.acuta,k,2,4,3,3,3,3,a,c,3,3,b
k243333ac323b,Axinella.damicornis,k,2,4,3,3,3,3,a,c,3,3,b
k254433ac323b,Agelas.oroides,k,2,5,4,4,3,3,a,c,3,3,b
k254433ac323b,Aplysina.cavernicola,k,2,5,4,4,3,3,a,c,3,3,b
k254433ac323b,Other.sponge.6.grey.white.massive,k,2,5,4,4,3,3,a,c,3,3,b
k254433ac323b,Chondrosia.reniformis,k,2,5,4,4,3,3,a,c,3,3,b
k254433ac323b,Ircinia.oros.type.Massive.black,k,2,5,4,4,3,3,a,c,3,3,b
k254433ec323b,Ircinia.variabilis,k,2,5,4,4,3,2,e,c,3,3,b
l134231ca225a,Sargassum.type,l,1,3,4,2,3,1,c,a,2,5,a
l243333ab321e,Myriapora.truncata,l,2,4,3,3,3,3,a,b,3,1,e
l254433ad421c,Corallium.rubrum,l,2,5,4,4,3,3,a,d,5,1,c
l255533ad523c,Eunicella.cavolinii,l,2,5,5,5,3,3,a,d,5,3,c
l255533ad523c,Paramuricea.clavata,l,2,5,5,5,3,3,a,d,5,3,c
